RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
894676023	87878005	123005000	362008007	3	0	0
671917028	119213002	123005000	181250005	3	0	0
722444025	362683004	123005000	302551006	3	0	0
1161132024	15197002	260870009	272125009	1	2	0
2401896026	387717002	260870009	272125009	1	2	0
2222556028	281488008	116680003	118969007	0	0	0
454855026	181267003	123005000	302553009	3	0	0
164800025	129003000	116680003	285592006	0	0	0
2840626023	419099009	116680003	365860008	0	0	0
608604026	280435009	123005000	361827000	3	0	0
883406021	83670000	123005000	362701005	3	0	0
1668576024	128395003	116680003	68386008	0	0	0
248404029	61685007	116680003	66019005	0	0	0
2737245020	76164006	405813007	71854001	0	1	1
2989678027	172859007	116680003	174035000	0	0	0
2678819028	395099008	408732007	410604004	0	1	1
3139576027	282745002	263502005	288524001	1	2	0
671838024	119199005	123005000	181216001	3	0	0
2576104022	240635003	363698007	113254000	0	1	1
3104448023	125605004	263502005	288524001	1	2	0
1217540028	50043002	246456000	288526004	1	2	0
1493523028	236239008	260507000	309795001	1	2	0
3153405026	39727004	263502005	288524001	1	2	0
687571027	122489005	123005000	278861008	3	0	0
2831460027	373573001	246090004	71388002	1	2	0
18559024	105427007	116680003	35359004	0	0	0
2683797027	118935006	116680003	116313000	0	0	0
604843020	278384005	123005000	361384001	3	0	0
129283021	303402001	116680003	64033007	0	0	0
2994498027	279493001	116680003	64344009	0	0	0
2580088022	269466003	363698007	41052006	0	1	1
723294024	362884007	123005000	38266002	3	0	0
77705023	113257007	116680003	91689009	0	0	0
905096023	91725007	123005000	38266002	3	0	0
2824253026	207002009	408731000	410512000	0	1	1
3018206028	202219007	263502005	255227004	0	1	0
343817021	271881004	116680003	271880003	0	0	0
298353027	91717005	116680003	113343008	0	0	0
20620021	106351005	116680003	106335002	0	0	0
2687515023	414058001	116680003	414057006	0	0	0
905439021	91858008	116676008	22331004	0	1	1
3018294022	107739004	405813007	26107004	0	1	1
2534527029	246090004	116680003	410662002	0	0	0
2940276029	119186007	116680003	421663001	0	0	0
2563528024	413323004	116680003	35359004	0	0	0
869312029	78133002	260686004	129304002	0	1	1
2942769025	77568009	116680003	420473002	0	0	0
2271261027	91724006	123005000	361110005	3	0	0
2867213021	7895008	246075003	410942007	0	1	0
2756549026	115173005	116680003	81325006	0	0	0
1697294021	274330002	116680003	103708000	0	0	0
2832023024	416462003	246112005	272141005	1	2	0
133923027	118971007	116680003	91690000	0	0	0
3229650027	363106000	363704007	122489005	0	1	1
2721874023	300457003	116676008	49755003	0	1	1
1333765021	174035000	260507000	309795001	1	2	0
2295959027	72897008	168666000	330901000	2	0	0
2769015026	417163006	116680003	64572001	0	0	0
198322025	3092008	116680003	127535004	0	0	0
661652024	303080001	123005000	361827000	3	0	0
559899025	250087009	363714003	250085001	0	1	0
162119022	127278005	116680003	118947000	0	0	0
101766022	282032007	116680003	307142001	0	0	0
68434026	249273002	116680003	106098005	0	0	0
2263940022	125592002	363698007	48075008	0	1	1
133793027	118965001	116680003	91690000	0	0	0
774222021	40927001	123005000	362875007	3	0	0
1883410026	302543008	272741003	182353008	1	2	0
775422027	41368006	363698007	35461009	0	1	0
1309737026	118826000	260870009	272125009	1	2	0
2294667028	8316001	149016008	398993007	2	0	0
2537052026	284003005	116680003	385424001	0	0	0
163171023	128135006	116680003	118937003	0	0	0
199111027	31426007	116680003	37017009	0	0	0
667649023	306717007	123005000	278861008	3	0	0
934295022	160377001	246090004	195967001	0	1	1
1019504021	105590001	116680003	138875005	0	0	0
122761020	298767005	116680003	118952005	0	0	0
226412023	48125009	116680003	128121009	0	0	0
